,knn,knn_pca,lr,lr_pca,rf,rf_pca
sample 1,2.7830820083618164,1.382622241973877,0.01813340187072754,0.12350654602050781,4.644084215164185,4.673894882202148
sample 2,2.811572551727295,1.445556879043579,0.015619516372680664,0.06300878524780273,4.5514750480651855,4.708474159240723
sample 3,2.7643344402313232,1.480147361755371,0.03126192092895508,0.06297850608825684,4.28019118309021,4.75617790222168
sample 4,2.7491633892059326,1.3994178771972656,0.015618562698364258,0.06323814392089844,4.673316717147827,4.757973670959473
sample 5,2.8105244636535645,1.3977444171905518,0.02756333351135254,0.06653165817260742,4.660842657089233,4.689234495162964
sample 6,2.8108510971069336,1.4761598110198975,0.015653133392333984,0.047297000885009766,4.6318371295928955,4.660356521606445
sample 7,2.813582420349121,1.3666303157806396,0.016044139862060547,0.06260514259338379,4.595769643783569,4.564019441604614
sample 8,2.876722812652588,1.3687653541564941,0.015619754791259766,0.10989999771118164,4.708089351654053,4.598439931869507
sample 9,2.780773878097534,1.352499008178711,0.03193187713623047,0.12529230117797852,4.599814176559448,4.693199396133423
sample 10,2.790565013885498,1.3424785137176514,0.015691280364990234,0.0624697208404541,4.484578371047974,4.613757848739624
sample 11,2.7355334758758545,1.3238029479980469,0.031267404556274414,0.06299901008605957,4.490830659866333,4.737210988998413
sample 12,2.747891426086426,1.2720520496368408,0.015624761581420898,0.06290864944458008,4.138208389282227,3.6892688274383545
sample 13,2.792771100997925,1.383141279220581,0.015738487243652344,0.07890963554382324,4.455476522445679,4.71183180809021
sample 14,2.7819392681121826,1.3048150539398193,0.015592813491821289,0.07854509353637695,4.585890769958496,4.7689008712768555
sample 15,2.7818846702575684,1.289635181427002,0.015630006790161133,0.06267452239990234,4.618789196014404,4.75380539894104
sample 16,2.809490203857422,1.291630506515503,0.0,0.1096642017364502,4.548444986343384,4.31508207321167
sample 17,2.784644365310669,1.3526930809020996,0.015619993209838867,0.07851219177246094,4.598062992095947,4.724897146224976
sample 18,2.8772871494293213,1.3520519733428955,0.03347039222717285,0.12411308288574219,4.58719539642334,4.704495668411255
sample 19,2.7660627365112305,1.4949474334716797,0.03134942054748535,0.12272357940673828,4.650321006774902,4.615323305130005
sample 20,2.7644999027252197,1.335698127746582,0.03121781349182129,0.07860589027404785,4.664092779159546,4.613522291183472
sample 21,2.750257730484009,1.383241891860962,0.0,0.07856345176696777,4.390857219696045,4.87290620803833
sample 22,2.795879364013672,1.3978674411773682,0.03125739097595215,0.09374690055847168,4.58103609085083,4.679224491119385
sample 23,2.7635772228240967,1.2736260890960693,0.01564192771911621,0.12542247772216797,4.706181526184082,4.697694778442383
sample 24,2.7600200176239014,1.4376602172851562,0.031236648559570312,0.06275653839111328,4.532566070556641,4.6132493019104
sample 25,2.764482021331787,1.3825116157531738,0.0,0.06251263618469238,4.518391132354736,4.453675985336304
sample 26,2.6620092391967773,1.1816303730010986,0.015625,0.047383785247802734,4.392419815063477,4.5686280727386475
sample 27,2.748704195022583,1.3996284008026123,0.015642642974853516,0.12559151649475098,4.5535924434661865,4.329097509384155
sample 28,2.6692211627960205,1.3549723625183105,0.0312652587890625,0.07851982116699219,4.640341281890869,4.757675647735596
sample 29,2.7968506813049316,1.295717716217041,0.01528024673461914,0.05738997459411621,4.59876275062561,4.706412315368652
sample 30,2.7350597381591797,1.335237979888916,0.015648365020751953,0.07851409912109375,4.361133337020874,4.672807455062866
sample 31,2.765115261077881,1.401547908782959,0.016122817993164062,0.06239509582519531,4.564903020858765,4.612515926361084
sample 32,2.794419050216675,1.3650856018066406,0.015619754791259766,0.06290960311889648,4.532015323638916,4.704583168029785
sample 33,2.735886335372925,1.402888536453247,0.026152849197387695,0.08143258094787598,4.641103506088257,4.681354761123657
sample 34,2.7820794582366943,1.3043828010559082,0.016018390655517578,0.04688310623168945,4.607087850570679,4.4882941246032715
sample 35,2.8429551124572754,1.5547354221343994,0.015617132186889648,0.07970714569091797,4.867959976196289,4.62967586517334
sample 36,2.8969414234161377,1.4249069690704346,0.03138136863708496,0.11012601852416992,4.614708185195923,4.691900253295898
sample 37,2.731218099594116,1.3680284023284912,0.031184673309326172,0.12565040588378906,4.663321495056152,3.9098944664001465
sample 38,2.3197691440582275,1.571368932723999,0.03133726119995117,0.08321022987365723,4.324966192245483,4.595575332641602
sample 39,2.8273532390594482,1.4151551723480225,0.0,0.06312727928161621,4.50197172164917,4.675606727600098
sample 40,2.8276548385620117,1.3379530906677246,0.01561880111694336,0.06295418739318848,4.627665281295776,4.722690105438232
sample 41,2.7633440494537354,1.2885067462921143,0.0,0.07652020454406738,4.6433751583099365,4.784489631652832
sample 42,2.843630790710449,1.4636049270629883,0.01850438117980957,0.05998039245605469,4.631194114685059,4.598520040512085
sample 43,2.8451600074768066,1.5561134815216064,0.0,0.06307411193847656,4.487953186035156,4.47210168838501
sample 44,2.7802913188934326,1.3672289848327637,0.015738248825073242,0.09422516822814941,4.598658561706543,4.662559270858765
sample 45,2.796393632888794,1.461799144744873,0.0312647819519043,0.07858991622924805,4.549357652664185,4.645883321762085
sample 46,2.7509844303131104,1.398705005645752,0.015619277954101562,0.07872891426086426,4.612856864929199,4.654773712158203
sample 47,2.7823915481567383,1.5407373905181885,0.015515804290771484,0.06251263618469238,4.595774412155151,4.631261348724365
sample 48,2.704735040664673,1.2093729972839355,0.015617609024047852,0.07854032516479492,4.486284017562866,4.834436655044556
sample 49,2.761956214904785,1.1706151962280273,0.006515979766845703,0.05639767646789551,4.549107789993286,4.688679933547974
sample 50,2.7651140689849854,1.6498684883117676,0.0,0.07862424850463867,4.3456130027771,4.710575819015503
sample 51,2.754077434539795,1.6429319381713867,0.03168487548828125,0.1098330020904541,4.647319078445435,4.659388303756714
sample 52,2.7803077697753906,1.4929463863372803,0.015619754791259766,0.1118321418762207,4.388866424560547,4.628156423568726
sample 53,2.778106689453125,1.6326119899749756,0.01566600799560547,0.11435294151306152,4.657451629638672,4.643477916717529
sample 54,2.7967846393585205,1.4442048072814941,0.01570439338684082,0.09412646293640137,4.693926811218262,4.7097601890563965
sample 55,2.768218994140625,1.4891715049743652,0.016020774841308594,0.07818317413330078,4.738171339035034,4.660096645355225
sample 56,2.78043270111084,1.507917881011963,0.0158078670501709,0.06304502487182617,4.597052812576294,4.6293816566467285
sample 57,2.734278917312622,1.4131977558135986,0.01563858985900879,0.06287670135498047,4.568008899688721,4.599363088607788
sample 58,2.9063262939453125,1.3971748352050781,0.03191876411437988,0.09432053565979004,4.549942255020142,4.740333795547485
